lat,lon,region
56.22829971459753,43.945534601732845,Нижегородская обл
56.83424361494684,53.14154343781356,Удмуртская Респ
45.04229880032483,41.9901700311052,Ставропольский край
59.84940815387751,30.387762269215937,г Санкт-Петербург
59.83964254203264,30.304308069852,г Санкт-Петербург
60.040549154880296,30.392387553505063,г Санкт-Петербург
55.68170669946954,37.580772658551176,г Москва
53.39858299791659,58.97995477160538,Челябинская обл
57.099150074794544,65.56969727084844,Тюменская обл
59.82630308173593,30.32705375739737,г Санкт-Петербург
55.82314686273473,37.52525496085629,г Москва
55.74668175424702,37.76004737511614,г Москва
54.977358448926616,83.0986887943096,Новосибирская обл
55.79055930858299,49.17634960488585,Респ Татарстан
59.93865497662944,30.48692827480092,г Санкт-Петербург
59.92805416747655,30.30188071065936,г Санкт-Петербург
55.83778278295674,49.08722458236097,Респ Татарстан
56.833499424967705,35.9236323357666,Тверская обл
55.86347085572034,37.47894048700816,г Москва
59.83226959980931,30.1473960487358,г Санкт-Петербург
59.95792314113595,30.31319742655803,г Санкт-Петербург
58.052645418958,56.35245354946975,Пермский край
55.541129268645854,37.48641651786977,г Москва
55.8223007481981,49.03270598186354,Респ Татарстан
55.583361819938936,37.66267839841771,г Москва
55.26225654640411,61.39739075019672,Челябинская обл
52.595260331676094,39.59403927633439,Липецкая обл
58.027884899222016,56.00371788895479,Пермский край
55.81569185251716,49.10827175621061,Респ Татарстан
56.13018089220486,47.26981730048792,Чувашская республика - Чувашия
59.93915818371678,30.47522347277526,г Санкт-Петербург
57.703637449525885,39.766113224481,Ярославская обл
55.65316791650842,37.645420070451735,г Москва
55.34278723806606,86.10767554433035,Кемеровская область - Кузбасс
59.95716113990208,30.31050048722756,г Санкт-Петербург
54.63059002381636,39.65499646344993,Рязанская обл
59.93591054801457,30.23843535919546,г Санкт-Петербург
55.712261413079815,37.73077826027394,г Москва
51.50042579529489,45.9156331853046,Саратовская обл
48.79205230876688,44.58319028080504,Волгоградская обл
55.87962705598871,37.68379665591343,г Москва
55.82407038560108,49.07308430988145,Респ Татарстан
59.959554062387056,30.30410330459096,г Санкт-Петербург
56.87154486630615,53.27954446167453,Удмуртская Респ
59.93805764980055,30.2383411822808,г Санкт-Петербург
59.89273379113714,30.48311241751355,г Санкт-Петербург
55.68511855565052,37.7375758068894,г Москва
55.76355640773933,49.18342825198316,Респ Татарстан
59.95759080394285,30.30715761738157,г Санкт-Петербург
56.27555915414978,44.05331864914034,Нижегородская обл
51.68652233254776,39.21113213726588,Воронежская обл
55.816336225196174,37.405250159805966,г Москва
55.84686402492735,37.47697856831704,г Москва
51.66707706124403,39.18541564938969,Воронежская обл
47.23456564640416,39.695605161990166,Ростовская обл
55.65133339252132,37.5535378482614,г Москва
54.30819422934084,48.39206731803306,Ульяновская обл
58.0501263984758,56.3518115968925,Пермский край
55.835511497267255,49.080890092115744,Респ Татарстан
55.18007428874805,61.297270983667474,Челябинская обл
55.703726634358944,37.473536425980576,г Москва
55.78528910351295,49.12672809413306,Респ Татарстан
59.95061275680583,30.26684285731885,г Санкт-Петербург
55.645589348471766,37.48385625368112,г Москва
55.613936663651714,37.26219150560641,г Москва
53.19429477066482,45.03712101245313,Пензенская обл
55.77402220855136,49.13753855702963,Респ Татарстан
60.03752114834585,30.33127596447458,г Санкт-Петербург
53.21772794998415,50.26492362604455,Самарская обл
51.619596656907405,39.06241436236563,Воронежская обл
55.85874940476418,37.42413239853832,г Москва
43.44745933181698,39.91501279474804,Краснодарский край
57.62848957565592,39.85579249877632,Ярославская обл
60.01629961180846,30.337166562295785,г Санкт-Петербург
55.62325456982101,37.74189657395261,г Москва
55.14190079490089,61.4122965379167,Челябинская обл
55.71906107916681,52.368628429614674,Респ Татарстан
51.703053643224585,39.13805190523462,Воронежская обл
56.14712998259712,47.22597806534345,Чувашская республика - Чувашия
55.24175642805866,61.365875122986125,Челябинская обл
56.82819629792456,60.63164850113608,Свердловская обл
55.8155713962594,37.58783457175,г Москва
59.889175145386815,30.2744954513363,г Санкт-Петербург
46.33580190721781,47.9812947371532,Астраханская обл
56.14292466919404,47.19051440657904,Чувашская республика - Чувашия
55.67314234113969,37.27828340008694,Московская обл
47.20554513224398,39.63437097306484,Ростовская обл
56.833046712693445,60.66168569899432,Свердловская обл
60.00689032328925,30.19834292164913,г Санкт-Петербург
59.93758022798045,30.3729613880543,г Санкт-Петербург
45.05356551877747,41.994581840194456,Ставропольский край
53.22532118016913,50.19925404813544,Самарская обл
54.60488070419137,39.79600174754236,Рязанская обл
46.33337686275727,48.05586497419616,Астраханская обл
60.054703452060615,30.335740134915635,г Санкт-Петербург
59.70408545651068,30.3695261166852,г Санкт-Петербург
55.07510525645061,82.96265885841413,Новосибирская обл
59.99680866227872,30.38224883167321,г Санкт-Петербург
58.11251745711348,56.28934417990682,Пермский край
55.03357071106538,82.97377610352743,Новосибирская обл
55.890070574348975,37.59446119984106,г Москва
56.27302604210174,43.91774087672352,Нижегородская обл
55.699138034841496,37.85523127141971,г Москва
55.68553380531926,37.30824077035293,Московская обл
55.86334460275987,37.47390228166238,г Москва
56.05511472363122,92.91756569024145,Красноярский край
55.40419599085375,37.56136899761265,Московская обл
59.83543602836419,30.17675456512396,г Санкт-Петербург
51.71966797600314,39.17590825349858,Воронежская обл
55.77473109938741,37.73921444376527,г Москва
60.02969090265786,30.4161239962514,г Санкт-Петербург
55.76319749910476,49.227877824124285,Респ Татарстан
59.220766611951085,39.864182888546445,Вологодская обл
47.28163970848561,39.763829407015805,Ростовская обл
59.9303506769924,30.36618380438277,г Санкт-Петербург
58.02945396246811,56.29924351152178,Пермский край
55.53950793784041,37.54480383225322,г Москва
47.24017878632024,39.76159178261055,Ростовская обл
54.61488601060901,39.81120483820939,Рязанская обл
45.12660668369981,38.956249185659225,Краснодарский край
59.85974485360867,30.3037111305884,г Санкт-Петербург
47.23881613044146,39.69283419920813,Ростовская обл
56.82820496312668,35.92280192499027,Тверская обл
56.85384572458667,60.6522023109852,Свердловская обл
55.64742525820285,37.59615898659928,г Москва
59.80564160607993,30.36951907557719,г Санкт-Петербург
53.18016394673185,45.01267281122709,Пензенская обл
55.77460025822501,49.14349237062531,Респ Татарстан
55.834354452127485,49.13322012528091,Респ Татарстан
56.77462201550601,60.58684734517197,Свердловская обл
57.09860811577963,65.57122703590603,Тюменская обл
55.827663156697504,49.13193712916044,Респ Татарстан
59.840245665967466,30.242672757630583,г Санкт-Петербург
56.7961759831544,60.57818566847771,Свердловская обл
53.24703829811234,50.22667152729119,Самарская обл
59.85621281215437,30.29856613779623,г Санкт-Петербург
58.02859899480247,56.30932566200448,Пермский край
56.09332361939235,47.285730984799486,Чувашская республика - Чувашия
47.27253470138346,39.71336760063296,Ростовская обл
53.323157831855255,50.30769607244445,Самарская обл
55.65595829785442,37.74445995473874,г Москва
57.98203746506051,56.29165736294875,Пермский край
55.597017400978544,37.723724972060126,г Москва
45.02863627269086,41.97550708851158,Ставропольский край
56.145242853960646,40.41813607240453,Владимирская обл
55.627325243115486,37.73584228520582,г Москва
59.935753340776806,30.435500144651225,г Санкт-Петербург
55.24854979989905,61.40102105632793,Челябинская обл
57.14747624326824,65.6433512945698,Тюменская обл
45.03854658876479,41.94840442647381,Ставропольский край
59.19749227027898,39.8627562692864,Вологодская обл
55.34524030677045,86.105778305304,Кемеровская область - Кузбасс
59.94277646940333,30.37880482295176,г Санкт-Петербург
56.856478742713534,60.58498486077933,Свердловская обл
56.86951185881026,35.88287603785175,Тверская обл
54.78058276564463,56.11488083957933,Респ Башкортостан
55.874951993801886,37.564670948563645,г Москва
55.83333035439791,49.07384431176329,Респ Татарстан
55.73538600349134,49.145053423317215,Респ Татарстан
51.63355105288296,39.1803566765032,Воронежская обл
45.04247199458156,42.00072209518165,Ставропольский край
60.01477155923477,30.36815019225661,г Санкт-Петербург
57.63147241979897,39.85611883332079,Ярославская обл
55.737940544714114,37.47149715704967,г Москва
60.00460161640396,30.252874822201548,г Санкт-Петербург
59.94279673790279,30.232505310627968,г Санкт-Петербург
55.76554860269441,37.56678081700246,г Москва
